model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
RandomForest,0,0.66667,0.66667,0.6666666666666666,0.6666666666666666,0.66667,0.66667,0.33333,[0.         0.33333333 0.66666667 1.        ],[0.         0.         0.33333333 1.        ],0.7222222222222222
DecisionTree,0,0.82857,0.83333,1.0,0.75,0.66667,1.0,0.70711,[0.         0.66666667 1.         1.        ],[0.         0.         0.33333333 1.        ],0.9444444444444444
KNN,0,0.625,0.66667,1.0,0.6,0.33333,1.0,0.44721,[0.         0.33333333 1.        ],[0. 0. 1.],0.6666666666666666
OneClassSVM,0,0.33333,0.5,0.5,,1.0,0.0,0.0,[0.         0.66666667 1.        ],[0. 1. 1.],0.3333333333333333
LocalOutlierFactor,0,0.48571,0.5,0.5,0.5,0.66667,0.33333,0.0,[0. 0. 1. 1.],[0.         0.33333333 0.33333333 1.        ],0.6666666666666667
IsolationForest,0,0.33333,0.5,0.5,,1.0,0.0,0.0,[0. 0. 0. 1.],[0.         0.33333333 1.         1.        ],0.0
Xgboost,0,0.66667,0.66667,0.6666666666666666,0.6666666666666666,0.66667,0.66667,0.33333,[0.         0.33333333 0.66666667 0.66666667 1.        ],[0. 0. 0. 1. 1.],0.6666666666666666
RandomForest,1,0.82857,0.83333,1.0,0.75,0.66667,1.0,0.70711,[0.         0.33333333 0.66666667 0.66666667 1.         1.        ],[0.         0.         0.         0.66666667 0.66666667 1.        ],0.7777777777777778
DecisionTree,1,0.82857,0.83333,1.0,0.75,0.66667,1.0,0.70711,[0.         0.66666667 1.         1.        ],[0.         0.         0.33333333 1.        ],0.9444444444444444
KNN,1,0.625,0.66667,1.0,0.6,0.33333,1.0,0.44721,[0.         0.33333333 1.        ],[0. 0. 1.],0.6666666666666666
OneClassSVM,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[0. 0. 0. 1.],[0.         0.33333333 1.         1.        ],0.0
LocalOutlierFactor,1,0.66667,0.66667,0.6666666666666666,0.6666666666666666,0.66667,0.66667,0.33333,[0.         0.33333333 0.33333333 1.         1.        ],[0.         0.         0.66666667 0.66666667 1.        ],0.5555555555555556
IsolationForest,1,0.33333,0.5,0.5,,1.0,0.0,0.0,[0.         0.         0.         0.66666667 0.66666667 1.        ],[0.         0.33333333 0.66666667 0.66666667 1.         1.        ],0.22222222222222224
